ABE,DTW,93,451,1383
ABE,ATL,122,429,1780
ABI,DFW,52,220,4455
ABQ,HOU,120,382,1867
ABQ,DAL,99,282,3114
ABQ,DFW,106,338,3503
ABQ,PHX,71,216,4880
ABQ,ATL,186,741,1599
ABQ,SFO,150,719,662
ABQ,MDW,167,764,1286
ABQ,PDX,159,612,457
ABQ,SLC,94,268,1893
ABQ,OAK,134,543,1583
ABQ,MCI,114,336,628
ABR,MSP,70,223,1320
ACT,DFW,44,172,3079
ACV,SFO,72,308,2535
ACY,RSW,149,593,953
ACY,MYR,82,322,650
ACY,FLL,150,729,1620
ACY,MCO,136,397,1574
ACY,PBI,144,470,306
ACY,TPA,142,582,661
ACY,BOS,75,232,361
ACY,ATL,118,485,354
AEX,DFW,72,355,1882
AEX,ATL,99,416,2424
AMA,DEN,80,226,1105
AMA,DAL,67,281,2381
ANC,SEA,205,596,12705
ANC,PDX,215,943,1820
ANC,PHX,334,1572,775
ANC,MSP,326,1473,1146
ANC,OTZ,92,438,961
ANC,SCC,102,287,835
ANC,OGG,358,1221,132
ANC,OME,90,280,948
ANC,BET,72,232,1759
ANC,HNL,361,1280,548
ANC,ADK,175,681,177
ANC,LAS,311,844,168
ANC,KOA,362,1230,88
ANC,ADQ,55,148,874
ANC,DLG,64,304,154
ANC,AKN,59,173,126
ASE,DEN,52,131,2045
ASE,LAX,127,586,1403
ASE,SFO,141,674,369
ASE,DFW,124,562,559
ATL,IAD,105,457,5216
ATL,CLT,73,298,12534
ATL,DAL,124,401,5652
ATL,MDW,109,500,8885
ATL,TLH,63,189,4177
ATL,ROA,82,304,2918
ATL,AGS,54,173,4689
ATL,SRQ,90,421,3847
ATL,ICT,128,640,1923
ATL,ECP,65,280,4020
ATL,MSN,120,580,1777
ATL,FNT,117,583,1895
ATL,HPN,136,600,3623
ATL,JAC,222,559,203
ATL,LEX,75,301,4501
ATL,EVV,80,358,1898
ATL,XNA,108,415,3110
ATL,MTJ,203,925,70
ATL,ASE,201,962,186
ATL,LFT,100,255,2364
ATL,EGE,193,505,196
ATL,HDN,196,659,190
ATL,MYR,75,317,2819
ATL,GRK,133,643,1167
ATL,FAY,78,242,3229
ATL,HNL,539,2487,664
ATL,TUS,217,757,1227
ATL,ELP,186,803,1392
ATL,BMI,99,434,1720
ATL,GTR,67,196,1824
ATL,ABY,52,181,1730
ATL,TYS,55,185,3395
ATL,MHT,157,416,656
ATL,BTV,156,703,596
ATL,MBS,130,621,24
ATL,FAR,175,472,78
ATL,SCE,115,420,78
ATL,RAP,182,769,30
ATL,LNK,138,578,635
ATL,SJC,282,1242,548
ATL,AZO,115,542,35
ATL,LAN,121,305,27
ATL,ELM,130,403,28
ATL,FSD,150,582,656
ATL,SMF,276,944,1104
ATL,DSM,123,589,1837
ATL,ONT,263,968,6
ATL,OAK,291,1088,128
ATL,MSO,248,625,30
ATL,STX,233,922,73
ATL,ANC,431,1199,203
ATL,FCA,251,1070,49
ATL,TVC,129,509,65
ATW,ATL,128,557,823
AUS,LAX,184,781,5143
AUS,DFW,60,219,9072
AUS,JFK,231,861,3115
AUS,SFO,216,889,4048
AUS,ATL,134,527,6275
AUS,BWI,196,814,1249
AUS,LGB,174,762,945
AUS,DEN,126,555,5750
AUS,PHL,215,763,529
AUS,LAS,162,805,2370
AUS,DAL,53,155,7632
AUS,PHX,135,643,3141
AUS,HOU,48,211,2585
AUS,EWR,223,613,1827
AUS,MDW,150,679,1716
AUS,FLL,165,529,1566
AUS,HRL,61,227,643
AUS,DCA,193,749,655
AUS,MSY,79,347,681
AUS,SLC,166,419,1169
AUS,BNA,120,549,1234
AUS,LBB,66,258,621
AUS,DTW,177,864,561
AUS,MIA,172,763,409
AUS,SNA,169,712,312
AUS,STL,115,543,312
AVL,ATL,56,151,3659
AVP,ATL,122,422,644
AZO,DTW,52,241,726
BDL,IAD,81,238,319
BDL,ATL,142,396,4615
BDL,DCA,79,270,1297
BDL,MIA,188,921,741
BDL,DFW,220,878,1238
BDL,DEN,233,979,677
BDL,RSW,180,686,777
BDL,CLT,120,312,3195
BDL,MCO,161,606,3280
BDL,DTW,104,426,2690
BDL,PBI,173,714,668
BDL,BWI,67,207,4292
BDL,TPA,168,765,1875
BDL,MDW,128,606,1712
BDL,PHL,67,263,9
BFL,DEN,149,705,1200
BFL,SFO,72,329,1285
BFL,PHX,93,284,1733
BHM,MIA,118,381,1069
BHM,ATL,53,250,6385
BHM,DFW,114,305,1188
BHM,BWI,116,397,1156
BHM,TPA,81,211,1250
BHM,LAS,220,712,667
BHM,DAL,98,262,1353
BHM,HOU,98,317,1208
BIL,SLC,81,340,2112
BIL,SEA,118,349,26
BIS,DEN,100,341,2519
BIS,DFW,164,627,645
BIS,MSP,85,223,2976
BJI,MSP,61,277,1329
BLI,SEA,46,157,493
BLI,LAS,155,594,432
BLI,HNL,357,1259,306
BNA,DTW,92,399,3998
BNA,ATL,64,213,6411
BNA,LAX,249,905,3245
BNA,MIA,139,659,102
BNA,CVG,66,179,651
BNA,LAS,218,711,1756
BNA,SLC,209,797,684
BNA,CLT,81,324,2548
BNA,STL,61,220,1239
BNA,DEN,157,626,4009
BNA,MSP,128,366,2047
BNA,PHX,202,834,1448
BNA,CHS,82,408,687
BNA,BWI,104,301,3653
BNA,DAL,103,327,1776
BNA,BOS,153,568,1251
BNA,CMH,70,235,1245
BNA,HOU,113,291,2410
BNA,JFK,146,527,614
BNA,IAD,114,533,62
BNA,MCI,88,437,2151
BNA,RSW,118,501,201
BNA,MOB,78,280,1
