id	id_ciudad_1	id_ciudad_2	puntaje	distancia
198	22	1	215151	648.947304687
199	22	2	1464947	568.611880051
200	22	3	149483	625.561883315
201	22	4	790985	191.59942691
202	22	5	100568	780.121020131
203	22	6	187570	975.961140709
204	22	7	83146	472.73216726
205	22	8	105393	286.094270615
206	22	9	116216	543.598876144
207	22	10	158188	476.981940224
208	22	11	353846	818.637175059
209	22	12	515320	418.297847701
210	22	13	83150	820.401132135
211	22	14	197924	727.945183985
212	22	15	94237	409.374910835
213	22	16	208026	391.289067797
214	22	17	120704	360.127328679
215	22	18	238748	1033.78094429
216	22	19	117818	799.697748842
217	22	20	121970	629.127414326
218	22	21	270457	813.908412139
219	23	1	725039	658.533219658
220	23	2	1974835	273.372610606
221	23	3	659371	300.969651119
222	23	4	1300873	374.364386367
223	23	5	610456	1019.63782657
224	23	6	697458	789.371169406
225	23	7	593034	610.247992158
226	23	8	615281	415.633315093
227	23	9	626104	198.066272907
228	23	10	668076	709.52140787
229	23	11	863734	627.493569626
230	23	12	1025208	764.100098154
231	23	13	593038	814.652197736
232	23	14	707812	943.743372289
233	23	15	604125	278.618361053
234	23	16	717914	135.520384231
235	23	17	630592	105.048655803
236	23	18	748636	769.775652569
237	23	19	627706	685.411030831
238	23	20	631858	432.570898294
239	23	21	780345	630.414823473
240	23	22	663645	346.468684567
241	24	1	394616	1577.23276713
242	24	2	1644412	1280.92173014
243	24	3	328948	1031.57626789
244	24	4	970450	746.755413247
245	24	5	280033	1613.58748691
246	24	6	367034	742.27684489
247	24	7	262611	1402.1559198
248	24	8	284857	1219.11842748
249	24	9	295681	1133.57934642
250	24	10	337653	533.636872913
251	24	11	533310	1646.20371468
252	24	12	694785	960.485766207
253	24	13	262614	286.403248042
254	24	14	377389	1594.65482031
255	24	15	273702	1262.23066653
256	24	16	387490	908.392760314
257	24	17	300169	1115.25899877
258	24	19	297282	545.213547894
259	24	20	301435	749.125323466
260	24	21	449922	707.141938114
261	24	22	333221	933.608913889
262	24	23	843109	1019.17208287
263	25	1	232679	1185.00023623
264	25	2	1482475	973.038069266
265	25	3	167011	815.490094591
266	25	4	808513	361.993473903
267	25	5	118096	1206.19865773
268	25	6	205097	793.34150438
269	25	7	100674	996.545334388
270	25	8	122920	821.640700948
271	25	9	133744	858.273083184
272	25	10	175716	147.335608883
273	25	11	371373	1306.04159087
274	25	12	532848	571.161581614
275	25	13	100677	411.06820017
276	25	14	215452	1184.25204384
277	25	15	111765	902.648533279
278	25	16	225553	622.574427981
279	25	17	138232	780.16431812
280	25	18	256275	979.0583814
281	25	19	135345	558.954068456
282	25	20	139498	602.463609159
283	25	21	287985	677.224393889
284	25	22	171284	536.094426092
285	25	23	681172	699.704547622
286	25	24	350749	411.284233976
287	26	1	361797	980.371270896
288	26	2	1611593	999.091123945
289	26	3	296129	997.084056796
290	26	4	937631	413.237529985
291	26	5	247214	824.884127671
292	26	6	334215	1170.78875603
293	26	7	229792	742.496114171
294	26	8	252038	636.807705025
295	26	9	262862	955.684474884
296	26	10	304834	286.357229197
297	26	11	500491	1232.3865308
298	26	12	661966	152.950538366
299	26	13	229795	840.404529342
300	26	14	344570	825.546074431
301	26	15	240883	831.708242386
302	26	16	354671	758.708077266
303	26	17	267350	789.293456058
304	26	18	385393	1307.74349622
305	26	19	264463	946.866752702
306	26	20	268616	892.798921148
307	26	21	417103	1029.08162279
308	26	22	300402	431.337987941
309	26	23	810290	758.858051739
310	26	24	479867	810.704687982
311	26	25	317930	431.880633798
312	27	1	230264	705.07846114
313	27	2	1480060	741.504611458
314	27	3	164596	808.974009214
315	27	4	806098	291.068544149
316	27	5	115681	678.727478161
317	27	6	202682	1115.73933203
318	27	7	98259	480.268006526
319	27	8	120505	353.291729527
320	27	9	131329	728.374715027
321	27	10	173301	434.634798115
322	27	11	368958	949.615508001
323	27	12	530433	236.41027817
324	27	13	98262	892.178420126
325	27	14	213037	647.714173429
326	27	15	109350	554.462636697
327	27	16	223138	571.900668036
328	27	17	135817	537.719481599
329	27	18	253860	1198.26143193
330	27	19	132930	919.455710722
331	27	20	137083	784.917516494
332	27	21	285570	957.712413198
333	27	22	168869	185.629920048
334	27	23	678757	531.829411712
335	27	24	348334	950.408926512
336	27	25	186397	539.125927452
337	27	26	315515	284.355846963
338	28	1	528784	1350.93829189
339	28	2	1778580	1079.50950985
340	28	3	463116	864.26554317
341	28	4	1104618	520.236642532
342	28	5	414201	1397.19994816
343	28	6	501203	704.587940173
344	28	7	396779	1174.85775779
345	28	8	419026	991.923189231
346	28	9	429849	943.25908322
347	28	10	471821	328.981300867
348	28	11	667479	1434.84974156
349	28	12	828953	758.725304137
350	28	13	396783	261.043478473
351	28	14	511557	1374.05979423
352	28	15	407870	1043.39018202
353	28	16	521659	710.802347907
354	28	17	434337	903.181057721
355	28	18	552381	924.996015592
356	28	19	431451	474.773030611
357	28	20	435603	605.114684869
358	28	21	584090	621.292553536
359	28	22	467390	706.263767114
360	28	23	977278	811.390409499
361	28	24	646854	227.430665281
362	28	25	484917	191.171572736
363	28	26	614035	614.866697512
364	28	27	482502	727.440771352
365	29	1	192854	706.757544979
366	29	2	1442650	903.852433185
367	29	3	127186	1025.40030076
368	29	4	768688	525.824551822
369	29	5	78271	486.62076398
370	29	6	165273	1350.81230941
371	29	7	60849	454.322163537
372	29	8	83096	431.555595464
373	29	9	93919	923.641883411
374	29	10	135891	595.49598996
375	29	11	331549	1035.22207159
376	29	12	493023	197.442342212
377	29	13	60853	1106.29028105
378	29	14	175627	482.509612498
379	29	15	71940	684.082867944
380	29	16	185729	793.925512652
381	29	17	98407	717.282941221
382	29	18	216451	1431.55963235
383	29	19	95521	1151.39679237
384	29	20	99673	1019.73053069
385	29	21	248160	1193.15904147
386	29	22	131460	402.898870873
387	29	23	641348	734.447131196
388	29	24	310924	1128.82975896
389	29	25	148987	724.848122058
390	29	26	278105	343.04359542
391	29	27	146572	235.51141508
392	29	28	445093	915.945556278
393	30	1	175302	1743.57596131
394	30	2	1425098	1396.31857648
395	30	3	109634	1108.88623272
396	30	4	751136	920.407741669
397	30	5	60719	1816.89490024
398	30	6	147721	707.006900167
399	30	7	43297	1583.63403583
400	30	8	65544	1393.18917913
401	30	9	76367	1236.16916612
402	30	10	118339	741.646516169
403	30	11	313997	1773.96366175
404	30	12	475471	1170.8097514
405	30	13	43301	339.732544452
406	30	14	158075	1793.66224985
407	30	15	54388	1408.31373048
408	30	16	168177	1026.43591477
409	30	17	80855	1250.26677223
410	30	19	77969	563.813009678
411	30	20	82121	815.087319966
412	30	21	230608	720.475526892
413	30	22	113908	1111.24267799
414	30	23	623796	1148.92184849
415	30	24	293372	214.061230349
416	30	25	131435	610.698788418
417	30	26	260553	1022.27643689
418	30	27	129020	1146.49457476
419	30	28	427541	419.859712684
420	30	29	91611	1334.47689665
421	31	1	193985	293.248384384
422	31	2	1443781	572.914437005
423	31	3	128317	818.520604034
424	31	4	769819	578.642776657
425	31	5	79402	505.325890576
426	31	6	166403	1296.58442802
427	31	7	61980	89.2187653459
428	31	8	84226	116.754325075
429	31	9	95050	661.585456238
430	31	10	137022	836.119906281
431	31	11	332679	614.30848149
432	31	12	494154	586.332394655
433	31	13	61983	1202.66588834
434	31	14	176758	421.251787645
435	31	15	73071	332.359147488
436	31	16	186859	643.776368207
437	31	17	99538	453.137992231
438	31	18	217581	1296.22641356
439	31	19	96651	1151.81605058
440	31	20	100804	935.888905225
441	31	21	249291	1133.51975894
442	31	22	132590	387.673075885
443	31	23	642478	526.470109467
444	31	24	312055	1319.905191
445	31	25	150118	916.749334138
446	31	26	279236	687.132537586
447	31	27	147703	413.977859654
448	31	28	446223	1092.47895411
449	31	29	110293	427.972135103
450	31	30	92741	1498.87050441
451	32	1	315619	1228.64838064
452	32	2	1565415	936.623793988
453	32	3	249951	723.751506101
454	32	4	891453	402.421713386
455	32	5	201036	1321.18545392
456	32	6	288037	628.957007508
457	32	7	183614	1065.93683862
458	32	8	205860	875.457799845
459	32	9	216684	799.48175746
460	32	10	258656	310.108319728
461	32	11	454313	1295.17163096
462	32	12	615788	716.05771437
463	32	13	183617	256.807877342
464	32	14	298392	1289.33787555
465	32	15	194705	908.540627779
466	32	16	308493	567.173646389
467	32	17	221172	763.549754428
468	32	18	339215	825.69302145
469	32	19	218285	394.071295939
470	32	20	222438	475.217924267
471	32	21	370925	521.217963708
472	32	22	254224	593.347651048
473	32	23	764112	669.871380102
474	32	24	433689	353.70265525
475	32	25	271752	167.179602505
476	32	26	400870	586.200529589
477	32	27	269337	642.959651856
478	32	28	567857	143.783159922
479	32	29	231927	851.394026113
480	32	30	214375	517.990936358
481	32	31	233058	980.914860039
482	33	1	190435	315.857732357
483	33	2	1440231	308.815867684
484	33	3	124767	667.085305791
485	33	4	766269	803.588170209
486	33	5	75852	900.721741643
487	33	7	58430	483.591368473
488	33	8	80677	452.842670637
489	33	9	91500	482.759797687
490	33	10	133472	1133.7005305
491	33	11	329130	157.995300033
492	33	12	490604	1009.35479329
493	33	13	58434	1319.99872702
494	33	14	173208	801.052400494
495	33	15	69521	260.978686089
496	33	16	183310	634.443012057
497	33	17	95988	403.181570749
498	33	19	93102	1178.00373508
499	33	20	97254	909.913897571
500	33	21	245741	1096.59448461
501	33	22	129041	664.386261951
502	33	23	638929	505.351891595
503	33	24	308505	1515.78923797
504	33	25	146568	1163.07410532
505	33	26	275686	1074.89052346
506	33	27	144153	791.824510164
507	33	28	442674	1299.86066758
508	33	29	106744	880.103762869
509	33	30	89192	1653.438569
510	33	31	107874	464.14663804
511	33	32	229508	1162.71222509
512	34	1	145273	1055.98430095
513	34	2	1395069	673.989058302
514	34	3	79605	432.615865073
515	34	4	721107	335.286056393
516	34	5	30690	1277.95615528
517	34	6	117691	490.179164748
518	34	7	13268	943.080325175
519	34	8	35514	738.275377272
520	34	9	46338	521.695144311
521	34	10	88310	493.010403452
522	34	11	283967	1049.95736416
523	34	12	445442	785.500972819
524	34	13	13271	387.887975807
525	34	14	128046	1225.3671353
526	34	15	24359	695.768534128
527	34	16	138147	302.507875319
528	34	17	50826	530.167058624
529	34	18	168869	611.158070182
530	34	19	47939	301.788984587
531	34	20	52092	205.913474424
532	34	21	200579	336.276321707
533	34	22	83878	498.150758086
534	34	23	593766	426.83819988
535	34	24	263343	611.969448731
536	34	25	101406	400.197586624
537	34	26	230524	697.741262301
538	34	27	98991	626.339407677
539	34	28	397511	431.910257414
540	34	29	61581	860.990330453
541	34	30	44029	724.025262558
542	34	31	62712	853.905533148
543	34	32	184346	291.241906229
544	34	33	59162	932.184394819
545	35	1	141754	486.80823984
546	35	2	1391550	902.859519799
547	35	3	76086	1135.20677958
548	35	4	717588	777.609147668
549	35	5	27171	184.583928659
550	35	6	114172	1570.23829212
551	35	7	9749	277.777317488
552	35	8	31995	424.202230769
553	35	9	42819	987.191955306
554	35	10	84791	933.365229787
555	35	11	280448	891.41972835
556	35	12	441923	552.250019065
557	35	13	9752	1401.10660693
558	35	14	124527	134.299155677
559	35	15	20840	662.439147995
560	35	16	134628	939.159276168
561	35	17	47307	774.971585758
562	35	18	165350	1599.13323531
563	35	19	44420	1399.2161765
564	35	20	48573	1215.22957542
565	35	21	197060	1407.01181932
566	35	22	80359	599.531479616
567	35	23	590247	836.179683614
568	35	24	259824	1460.58604187
569	35	25	97887	1050.05295156
570	35	26	227005	697.512832287
571	35	27	95472	513.464052278
572	35	28	393992	1239.78575557
573	35	29	58062	355.26464256
574	35	30	40510	1659.36886944
575	35	31	59193	330.170019239
576	35	32	180827	1155.40068685
577	35	33	55643	758.101413398
578	35	34	10481	1097.66730299
579	36	1	174443	553.755644753
580	36	2	1424239	337.355019448
581	36	3	108775	453.037831547
582	36	4	750277	331.953189231
583	36	5	59860	868.889163169
584	36	6	146861	917.12705865
585	36	7	42438	468.861404509
586	36	8	64684	268.07795173
587	36	9	75508	330.770716336
588	36	10	117480	667.765388269
589	36	11	313137	617.90371015
590	36	12	474612	644.1834207
591	36	13	42441	879.376685178
592	36	14	157216	794.969502442
593	36	15	53529	213.441966836
594	36	16	167317	261.523596206
595	36	17	79996	129.893886863
596	36	18	198039	916.718672313
597	36	19	77109	787.747009385
598	36	20	81262	556.28631672
599	36	21	229749	754.882114106
600	36	22	113048	231.27034631
601	36	23	622936	152.115671874
602	36	24	292513	1050.53835246
603	36	25	130576	689.913753452
604	36	26	259694	661.971876558
605	36	27	128161	407.866096968
606	36	28	426681	830.474490972
607	36	29	90751	593.025800373
608	36	30	73199	1201.76371443
609	36	31	91882	382.287350014
610	36	32	213516	696.909250106
611	36	33	88332	473.185004562
612	36	34	43170	502.239372998
613	36	35	39651	685.023934811
614	37	1	184499	707.294798369
615	37	2	1434295	506.564490262
616	37	3	118831	505.395071666
617	37	4	760333	141.787067519
618	37	5	69916	904.773803645
619	37	6	156918	848.748190232
620	37	7	52494	566.392230654
621	37	8	74741	364.406108721
622	37	9	85564	446.890252998
623	37	10	127536	479.164461545
624	37	11	323194	808.078467348
625	37	12	484668	525.773905448
626	37	13	52498	727.791682138
627	37	14	167272	847.580535853
628	37	15	63585	401.616459298
629	37	16	177374	266.739335632
630	37	17	90052	297.979297673
631	37	18	208096	902.553908722
632	37	19	87166	681.236121026
633	37	20	91318	498.759902128
634	37	21	239805	685.98182281
635	37	22	123105	131.271155075
636	37	23	632993	250.697335635
637	37	24	302569	873.526664645
638	37	25	140632	501.219796036
639	37	26	269750	508.798294328
640	37	27	138217	305.516935656
641	37	28	436738	649.701976697
642	37	29	100808	531.948396226
643	37	30	83256	1036.30952176
644	37	31	101938	477.686643731
645	37	32	223572	522.191535629
646	37	33	98389	662.388924353
647	37	34	53226	379.998775893
648	37	35	49707	722.241267182
649	37	36	82396	190.175107352
650	38	1	186663	629.37532022
651	38	2	1436459	652.960813475
652	38	3	120995	741.716910012
653	38	4	762497	278.557118608
654	38	5	72080	675.252007275
655	38	6	159082	1088.9163177
656	38	7	54658	418.741419874
657	38	8	76905	269.652058073
658	38	9	87728	648.845247518
659	38	10	129700	492.217923543
660	38	11	325358	858.900115844
661	38	12	486832	325.111906396
662	38	13	54662	903.965785693
663	38	14	169436	631.174237084
664	38	15	65749	462.715186757
665	38	16	179538	509.671543033
666	38	17	92216	451.987613851
667	38	18	210260	1152.70041392
668	38	19	89330	904.961069546
669	38	20	93482	746.060173246
670	38	21	241969	927.855546162
671	38	22	125269	119.372297903
672	38	23	635157	454.992762947
673	38	24	304733	988.511883713
674	38	25	142796	579.734370835
675	38	26	271914	373.707477395
676	38	27	140381	91.7548809955
677	38	28	438902	762.193995567
678	38	29	102972	284.302384393
679	38	30	85420	1177.05095893
680	38	31	104102	344.004934184
681	38	32	225736	663.79673286
682	38	33	100553	701.27353446
683	38	34	55390	605.336854516
684	38	35	51871	499.201182006
685	38	36	84560	322.800406807
686	38	37	94617	250.221363457
